year,group,event,cutoff
2023,South Sectional Girls & Boys,1 Meter Diving,183 (2 times)
2023,North Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2023,Girls State Division I,1 Meter Diving,190 (2 times)
2023,Girls State Division II,1 Meter Diving,190 (2 times)
2023,Boys State Division I,1 Meter Diving,192 (2 times)
2023,Boys State Division II,1 Meter Diving,192 (2 times)
2023,South Sectional Girls & Boys,200 Medley Relay,2:15.55
2023,North Sectional Girls & Boys,200 Medley Relay,2:16.78
2023,Girls State Division I,200 Medley Relay,2:08.02
2023,Girls State Division II,200 Medley Relay,2:11.93
2023,Boys State Division I,200 Medley Relay,2:03.90
2023,Boys State Division II,200 Medley Relay,2:03.90
2023,South Sectional Girls & Boys,200 Freestyle,2:12.74
2023,North Sectional Girls & Boys,200 Freestyle,2:11.79
2023,Girls State Division I,200 Freestyle,2:10.78
2023,Girls State Division II,200 Freestyle,2:10.94
2023,Boys State Division I,200 Freestyle,1:57.09
2023,Boys State Division II,200 Freestyle,1:57.09
2023,South Sectional Girls & Boys,200 Individual Medley,2:31.98
2023,North Sectional Girls & Boys,200 Individual Medley,2:31.14
2023,Girls State Division I,200 Individual Medley,2:27.01
2023,Girls State Division II,200 Individual Medley,2:30.15
2023,Boys State Division I,200 Individual Medley,2:13.00
2023,Boys State Division II,200 Individual Medley,2:13.00
2023,South Sectional Girls & Boys,50 Freestyle,27.43
2023,North Sectional Girls & Boys,50 Freestyle,27.12
2023,Girls State Division I,50 Freestyle,26.70
2023,Girls State Division II,50 Freestyle,27.00
2023,Boys State Division I,50 Freestyle,23.22
2023,Boys State Division II,50 Freestyle,24.00
2023,South Sectional Girls & Boys,100 Butterfly,1:09.01
2023,North Sectional Girls & Boys,100 Butterfly,1:08.40
2023,Girls State Division I,100 Butterfly,1:07.17
2023,Girls State Division II,100 Butterfly,1:08.33
2023,Boys State Division I,100 Butterfly,59.00
2023,Boys State Division II,100 Butterfly,59.00
2023,South Sectional Girls & Boys,100 Freestyle,1:00.33
2023,North Sectional Girls & Boys,100 Freestyle,1:00.34
2023,Girls State Division I,100 Freestyle,59.30
2023,Girls State Division II,100 Freestyle,59.95
2023,Boys State Division I,100 Freestyle,52.67
2023,Boys State Division II,100 Freestyle,52.67
2023,South Sectional Girls & Boys,500 Freestyle,6:01.73
2023,North Sectional Girls & Boys,500 Freestyle,6:01.73
2023,Girls State Division I,500 Freestyle,5:48.87
2023,Girls State Division II,500 Freestyle,5:53.94
2023,Boys State Division I,500 Freestyle,5:23.09
2023,Boys State Division II,500 Freestyle,5:23.09
2023,South Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2023,North Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2023,Girls State Division I,200 Freestyle Relay,1:56.11
2023,Girls State Division II,200 Freestyle Relay,1:56.54
2023,Boys State Division I,200 Freestyle Relay,1:38.93
2023,Boys State Division II,200 Freestyle Relay,1:38.93
2023,South Sectional Girls & Boys,100 Backstroke,1:08.01
2023,North Sectional Girls & Boys,100 Backstroke,1:08.51
2023,Girls State Division I,100 Backstroke,1:07.50
2023,Girls State Division II,100 Backstroke,1:07.85
2023,Boys State Division I,100 Backstroke,1:01.47
2023,Boys State Division II,100 Backstroke,1:01.47
2023,South Sectional Girls & Boys,100 Breaststroke,1:19.96
2023,North Sectional Girls & Boys,100 Breaststroke,1:17.98
2023,Girls State Division I,100 Breaststroke,1:15.02
2023,Girls State Division II,100 Breaststroke,1:17.66
2023,Boys State Division I,100 Breaststroke,1:08.21
2023,Boys State Division II,100 Breaststroke,1:08.21
2023,South Sectional Girls & Boys,400 Freestyle Relay,4:24.53
2023,North Sectional Girls & Boys,400 Freestyle Relay,4:25.59
2023,Girls State Division I,400 Freestyle Relay,4:13.18
2023,Girls State Division II,400 Freestyle Relay,4:13.69
2023,Boys State Division I,400 Freestyle Relay,3:49.90
2023,Boys State Division II,400 Freestyle Relay,3:49.90
2022,South Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2022,North Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2022,Girls State Division I,1 Meter Diving,190 (2 times)
2022,Girls State Division II,1 Meter Diving,190 (2 times)
2022,Boys State Division I,1 Meter Diving,192 (2 times)
2022,Boys State Division II,1 Meter Diving,192 (2 times)
2022,South Sectional Girls & Boys,200 Medley Relay,2:15.55
2022,North Sectional Girls & Boys,200 Medley Relay,2:16.78
2022,Girls State Division I,200 Medley Relay,2:07.82
2022,Girls State Division II,200 Medley Relay,2:11.26
2022,Boys State Division I,200 Medley Relay,2:03.90
2022,Boys State Division II,200 Medley Relay,2:03.90
2022,South Sectional Girls & Boys,200 Freestyle,2:12.74
2022,North Sectional Girls & Boys,200 Freestyle,2:11.79
2022,Girls State Division I,200 Freestyle,2:10.60
2022,Girls State Division II,200 Freestyle,2:10.66
2022,Boys State Division I,200 Freestyle,1:57.09
2022,Boys State Division II,200 Freestyle,1:57.09
2022,South Sectional Girls & Boys,200 Individual Medley,2:31.98
2022,North Sectional Girls & Boys,200 Individual Medley,2:31.14
2022,Girls State Division I,200 Individual Medley,2:26.50
2022,Girls State Division II,200 Individual Medley,2:30.19
2022,Boys State Division I,200 Individual Medley,2:13.00
2022,Boys State Division II,200 Individual Medley,2:13.00
2022,South Sectional Girls & Boys,50 Freestyle,27.43
2022,North Sectional Girls & Boys,50 Freestyle,27.22
2022,Girls State Division I,50 Freestyle,27.00
2022,Girls State Division II,50 Freestyle,27.07
2022,Boys State Division I,50 Freestyle,23.22
2022,Boys State Division II,50 Freestyle,24.00
2022,South Sectional Girls & Boys,100 Butterfly,1:09.01
2022,North Sectional Girls & Boys,100 Butterfly,1:08.40
2022,Girls State Division I,100 Butterfly,1:07.17
2022,Girls State Division II,100 Butterfly,1:08.26
2022,Boys State Division I,100 Butterfly,59.00
2022,Boys State Division II,100 Butterfly,59.00
2022,South Sectional Girls & Boys,100 Freestyle,1:00.33
2022,North Sectional Girls & Boys,100 Freestyle,59.93
2022,Girls State Division I,100 Freestyle,59.00
2022,Girls State Division II,100 Freestyle,59.80
2022,Boys State Division I,100 Freestyle,52.67
2022,Boys State Division II,100 Freestyle,52.67
2022,South Sectional Girls & Boys,500 Freestyle,6:01.73
2022,North Sectional Girls & Boys,500 Freestyle,6:01.73
2022,Girls State Division I,500 Freestyle,5:49.37
2022,Girls State Division II,500 Freestyle,5:53.84
2022,Boys State Division I,500 Freestyle,5:23.09
2022,Boys State Division II,500 Freestyle,5:23.09
2022,South Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2022,North Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2022,Girls State Division I,200 Freestyle Relay,1:56.22
2022,Girls State Division II,200 Freestyle Relay,1:56.44
2022,Boys State Division I,200 Freestyle Relay,1:38.93
2022,Boys State Division II,200 Freestyle Relay,1:38.93
2022,South Sectional Girls & Boys,100 Backstroke,1:08.01
2022,North Sectional Girls & Boys,100 Backstroke,1:08.51
2022,Girls State Division I,100 Backstroke,1:07.40
2022,Girls State Division II,100 Backstroke,1:07.85
2022,Boys State Division I,100 Backstroke,1:01.47
2022,Boys State Division II,100 Backstroke,1:01.47
2022,South Sectional Girls & Boys,100 Breaststroke,1:19.96
2022,North Sectional Girls & Boys,100 Breaststroke,1:17.98
2022,Girls State Division I,100 Breaststroke,1:15.13
2022,Girls State Division II,100 Breaststroke,1:17.51
2022,Boys State Division I,100 Breaststroke,1:08.21
2022,Boys State Division II,100 Breaststroke,1:08.21
2022,South Sectional Girls & Boys,400 Freestyle Relay,4:24.53
2022,North Sectional Girls & Boys,400 Freestyle Relay,4:25.59
2022,Girls State Division I,400 Freestyle Relay,4:13.28
2022,Girls State Division II,400 Freestyle Relay,4:13.58
2022,Boys State Division I,400 Freestyle Relay,3:49.90
2022,Boys State Division II,400 Freestyle Relay,3:49.90
2021,South Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2021,North Sectional Girls & Boys,1 Meter Diving,175 (2 times)
2021,Girls State Division I,1 Meter Diving,190 (2 times)
2021,Girls State Division II,1 Meter Diving,190 (2 times)
2021,Boys State Division I,1 Meter Diving,192 (2 times)
2021,Boys State Division II,1 Meter Diving,192 (2 times)
2021,South Sectional Girls & Boys,200 Medley Relay,2:15.55
2021,North Sectional Girls & Boys,200 Medley Relay,2:16.78
2021,Girls State Division I,200 Medley Relay,2:07.50
2021,Girls State Division II,200 Medley Relay,2:11.19
2021,Boys State Division I,200 Medley Relay,2:03.90
2021,Boys State Division II,200 Medley Relay,2:03.90
2021,South Sectional Girls & Boys,200 Freestyle,2:11.65
2021,North Sectional Girls & Boys,200 Freestyle,2:11.20
2021,Girls State Division I,200 Freestyle,2:10.50
2021,Girls State Division II,200 Freestyle,2:10.66
2021,Boys State Division I,200 Freestyle,1:57.09
2021,Boys State Division II,200 Freestyle,1:57.09
2021,South Sectional Girls & Boys,200 Individual Medley,2:30.89
2021,North Sectional Girls & Boys,200 Individual Medley,2:30.69
2021,Girls State Division I,200 Individual Medley,2:26.40
2021,Girls State Division II,200 Individual Medley,2:30.15
2021,Boys State Division I,200 Individual Medley,2:13.00
2021,Boys State Division II,200 Individual Medley,2:13.00
2021,South Sectional Girls & Boys,50 Freestyle,27.22
2021,North Sectional Girls & Boys,50 Freestyle,27.02
2021,Girls State Division I,50 Freestyle,26.70
2021,Girls State Division II,50 Freestyle,27.00
2021,Boys State Division I,50 Freestyle,23.22
2021,Boys State Division II,50 Freestyle,24.00
2021,South Sectional Girls & Boys,100 Butterfly,1:09.01
2021,North Sectional Girls & Boys,100 Butterfly,1:08.40
2021,Girls State Division I,100 Butterfly,1:06.90
2021,Girls State Division II,100 Butterfly,1:08.33
2021,Boys State Division I,100 Butterfly,59.00
2021,Boys State Division II,100 Butterfly,59.00
2021,South Sectional Girls & Boys,100 Freestyle,1:00.53
2021,North Sectional Girls & Boys,100 Freestyle,59.93
2021,Girls State Division I,100 Freestyle,59.00
2021,Girls State Division II,100 Freestyle,59.80
2021,Boys State Division I,100 Freestyle,52.67
2021,Boys State Division II,100 Freestyle,52.67
2021,South Sectional Girls & Boys,500 Freestyle,5:59.97
2021,North Sectional Girls & Boys,500 Freestyle,6:01.73
2021,Girls State Division I,500 Freestyle,5:48.37
2021,Girls State Division II,500 Freestyle,5:53.74
2021,Boys State Division I,500 Freestyle,5:23.09
2021,Boys State Division II,500 Freestyle,5:23.09
2021,South Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2021,North Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2021,Girls State Division I,200 Freestyle Relay,1:56.00
2021,Girls State Division II,200 Freestyle Relay,1:56.44
2021,Boys State Division I,200 Freestyle Relay,1:38.93
2021,Boys State Division II,200 Freestyle Relay,1:38.93
2021,South Sectional Girls & Boys,100 Backstroke,1:08.80
2021,North Sectional Girls & Boys,100 Backstroke,1:08.01
2021,Girls State Division I,100 Backstroke,1:07.40
2021,Girls State Division II,100 Backstroke,1:07.85
2021,Boys State Division I,100 Backstroke,1:01.47
2021,Boys State Division II,100 Backstroke,1:01.47
2021,South Sectional Girls & Boys,100 Breaststroke,1:19.76
2021,North Sectional Girls & Boys,100 Breaststroke,1:17.70
2021,Girls State Division I,100 Breaststroke,1:14.72
2021,Girls State Division II,100 Breaststroke,1:17.51
2021,Boys State Division I,100 Breaststroke,1:08.21
2021,Boys State Division II,100 Breaststroke,1:08.21
2021,South Sectional Girls & Boys,400 Freestyle Relay,4:24.53
2021,North Sectional Girls & Boys,400 Freestyle Relay,4:25.59
2021,Girls State Division I,400 Freestyle Relay,4:13.00
2021,Girls State Division II,400 Freestyle Relay,4:13.51
2021,Boys State Division I,400 Freestyle Relay,3:49.90
2021,Boys State Division II,400 Freestyle Relay,3:49.90
